hhcode,sec,fortnightly,food,s12bq03,s12bq04,s12bq05,s12bq06,s12bq07,s12bq08,Totalincome,Region,Province,hhsize,Real_income,,
10020200211,BSB,2768,71968,7145,85740,1300,15600,19950,19950,193258,rural,Punjab,9,60772.95597,,
10020200212,BSB,3823,99398,5247,62964,800,9600,14100,14100,186062,rural,Punjab,5,58510.06289,,
10020200213,BSB,5053,131378,7639,91668,12246,146952,90300,90300,460298,rural,Punjab,6,144747.7987,,
10020200214,BSB,3236,84136,4527,54324,1160,13920,10150,10150,162530,rural,Punjab,7,51110.06289,,
10020200216,BSB,1381,35906,7751,93012,4620,55440,48050,48050,232408,rural,Punjab,7,73084.27673,,
10020300101,BSB,2357,61282,7450,89400,2390,28680,37410,37410,216772,rural,Punjab,8,68167.2956,,
10020300102,BSB,2728,70928,6966,83592,1775,21300,29050,29050,204870,rural,Punjab,8,64424.5283,,
10020300103,BSB,1501,39026,4450,53400,1700,20400,32800,32800,145626,rural,Punjab,7,45794.33962,,
10020300104,BSB,2545,66170,6720,80640,2700,32400,27630,27630,206840,rural,Punjab,6,65044.02516,,
10020300105,BSB,2115,54990,3596,43152,500,6000,7850,7850,111992,rural,Punjab,4,35217.61006,,
10020300106,BSB,1269,32994,5098,61176,550,6600,78600,78600,179370,rural,Punjab,6,56405.66038,,
10020300107,BSB,1558,40508,6291,75492,1150,13800,18000,18000,147800,rural,Punjab,8,46477.98742,,
10020300108,BSB,961,24986,2686,32232,300,3600,22850,22850,83668,rural,Punjab,2,26310.69182,,
10020300109,BSB,1728,44928,3565,42780,800,9600,16250,16250,113558,rural,Punjab,4,35710.06289,,
10020300110,BSB,1519,39494,5491,65892,1700,20400,31000,31000,156786,rural,Punjab,6,49303.77358,,
10020300111,BSB,2376,61776,6760,81120,2150,25800,58300,58300,226996,rural,Punjab,8,71382.38994,,
10020300112,BSB,1465,38090,2858,34296,1025,12300,29800,29800,114486,rural,Punjab,6,36001.88679,,
10020300113,BSB,1281,33306,3595,43140,1600,19200,24220,24220,119866,rural,Punjab,7,37693.71069,,
10020300114,BSB,4334,112684,10307,123684,5650,67800,64950,64950,369118,rural,Punjab,10,116074.8428,,
10020300115,BSB,1351,35126,4085,49020,500,6000,13930,13930,104076,rural,Punjab,5,32728.30189,,
10020300116,BSB,2442,63492,6965,83580,2250,27000,70000,70000,244072,rural,Punjab,5,76752.20126,,
10020300201,BSB,4557,118482,9755,117060,10150,121800,116250,116250,473592,rural,Punjab,5,148928.3019,,
10020300202,BSB,1324,34424,5540,66480,400,4800,28750,28750,134454,rural,Punjab,9,42281.13208,,
10020300203,BSB,1202,31252,2013,24156,1500,18000,17450,17450,90858,rural,Punjab,1,28571.69811,,
10020300204,BSB,2905,75530,7402,88824,3300,39600,62150,62150,266104,rural,Punjab,4,83680.50314,,
10020300205,BSB,1505,39130,5750,69000,1450,17400,74750,74750,200280,rural,Punjab,6,62981.13208,,
10020300206,BSB,1859,48334,4655,55860,970,11640,62300,62300,178134,rural,Punjab,6,56016.98113,,
10020300207,BSB,1265,32890,4986,59832,1200,14400,47250,47250,154372,rural,Punjab,4,48544.65409,,
10020300208,BSB,1201,31226,4613,55356,1200,14400,25100,25100,126082,rural,Punjab,4,39648.42767,,
10020300209,BSB,3497,90922,6570,78840,2350,28200,55600,55600,253562,rural,Punjab,5,79736.47799,,
10020300210,BSB,2263,58838,6762,81144,600,7200,30690,30690,177872,rural,Punjab,9,55934.59119,,
10020300211,BSB,2953,76778,5620,67440,1450,17400,64650,64650,226268,rural,Punjab,7,71153.45912,,
10020300212,BSB,2083,54158,5690,68280,1450,17400,40400,40400,180238,rural,Punjab,10,56678.61635,,
10020300213,BSB,3883,100958,7055,84660,840,10080,16950,16950,212648,rural,Punjab,5,66870.44025,,
10020300214,BSB,1061,27586,3275,39300,1560,18720,30720,30720,116326,rural,Punjab,5,36580.50314,,
10020300215,BSB,2065,53690,6132,73584,3300,39600,77950,77950,244824,rural,Punjab,5,76988.67925,,
10020300216,BSB,1944,50544,5138,61656,950,11400,64500,64500,188100,rural,Punjab,6,59150.9434,,
10020400101,BSB,936,24336,2118,25416,600,7200,10200,10200,67152,rural,Punjab,2,21116.98113,,
10020400102,BSB,2073,53898,4610,55320,1300,15600,12020,12020,136838,rural,Punjab,5,43030.81761,,
10020400103,BSB,1820,47320,6067,72804,550,6600,29800,29800,156524,rural,Punjab,5,49221.38365,,
10020400104,BSB,1070,27820,1950,23400,250,3000,2700,2700,56920,rural,Punjab,2,17899.37107,,
10020400105,BSB,3210,83460,7625,91500,2750,33000,33990,33990,241950,rural,Punjab,8,76084.90566,,
10020400106,BSB,1200,31200,3505,42060,1050,12600,12940,12940,98800,rural,Punjab,3,31069.18239,,
10020400107,BSB,2360,61360,4050,48600,5320,63840,36550,36550,210350,rural,Punjab,8,66147.79874,,
10020400108,BSB,2651,68926,6960,83520,2500,30000,51950,51950,234396,rural,Punjab,7,73709.43396,,
10020400109,BSB,1470,38220,4117,49404,350,4200,17500,17500,109324,rural,Punjab,4,34378.61635,,
10020400110,BSB,1308,34008,6707,80484,600,7200,11490,11490,133182,rural,Punjab,6,41881.13208,,
10020400111,BSB,2850,74100,3401,40812,1350,16200,21500,21500,152612,rural,Punjab,7,47991.19497,,
10020400112,BSB,1580,41080,8052,96624,2100,25200,44900,44900,207804,rural,Punjab,11,65347.16981,,
10020400113,BSB,2571,66846,5678,68136,1400,16800,32000,32000,183782,rural,Punjab,7,57793.08176,,
10020400114,BSB,1897,49322,7451,89412,1650,19800,77850,77850,236384,rural,Punjab,6,74334.59119,,
10020400115,BSB,3067,79742,4942,59304,4800,57600,29200,29200,225846,rural,Punjab,5,71020.75472,,
10020400116,BSB,2176,56576,4335,52020,2500,30000,19170,19170,157766,rural,Punjab,5,49611.94969,,
10020400201,BSB,1492,38792,3665,43980,850,10200,5070,5070,98042,rural,Punjab,5,30830.81761,,
10020400202,BSB,2790,72540,5566,66792,1400,16800,115380,115380,271512,rural,Punjab,4,85381.13208,,
10020400203,BSB,1205,31330,7028,84336,950,11400,6950,6950,134016,rural,Punjab,6,42143.39623,,
